FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
FR5193,3.0,209.86,NQ-400E4001024Z,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR5210,5.0,148.7,TQ-500E600U039U,5X6,QFN,Copper ,360.0,,4,3
FR5220,5.0,141.35,TD-700M500U032U,5X7,QFN,Copper ,320.0,,1,1
FR5230,5.0,162.99,TQ-400E500U025U,5X4,QFN,Copper ,560.0,,1,1
FR6002,2.0,170.93000000000004,MQ-700E7001048A,7X7,SLP,Copper ,240.0,,1,1
FR6003,2.0,199.28,MQ-600E6001040A,6X6,SLP,Copper ,315.0,,3,3
FR6009,2.0,166.24,ND-300E3001006A,3X3,SLP,Copper ,1170.0,,1,1
FR6011,2.0,225.76,MQ-500E5001032A,5X5,SLP,Copper ,440.0,,3,3
FR6014,3.0,177.83,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Step Cut,6,5
FR6015,3.0,209.86,NQ-400E4001020A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR6016,3.0,203.43,ND-300E3001008A,3X3,SLP,Copper ,1170.0,Step Cut,8,8
FR6021,2.0,199.28,MQC600E6001040A,6X6,SLP,Copper ,315.0,,3,3
FR6022,3.0,209.86,MQC400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR6026,3.0,208.48,TQ-400E5001028A,5X4,SLP,Copper ,550.0,Step Cut,2,2
FR6043,3.0,201.45,NDC200E2001008A,2X2,SLP,Copper ,2470.0,Step Cut,5,4
FR6053,3.0,209.86,NQ-400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR6055,3.0,209.86,NQC400E4001024A,4X4,SLP,Copper ,700.0,Step Cut,11,11
FR6059,3.0,160.02,NQ-700E7001048A,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR6063,3.0,177.83,TQ-500D5001032A,5X5,SLP,Copper ,440.0,Step Cut,6,5
FR6084,3.0,167.15,TD-170E2501002E,2.5X1.7,SLP,Copper ,2325.0,Step Cut,2,2
FR6104,3.0,201.45,TD-200E2001008A,2X2,SLP,Copper ,2470.0,Step Cut,5,4
FR6125,3.0,181.52,TQ-400E5001026C,4X5,SLP,Copper ,550.0,Step Cut,2,2
FR6131,3.0,150.49,NQ-A00EA001072U,10X10,SLP,Copper ,120.0,Step Cut,2,2
FR6133,3.0,160.02,TQ-700E7001048K,7X7,SLP,Copper ,240.0,Step Cut,9,9
FR6134,5.0,202.31,TQ-400E400B026C,4X4,QFN,Copper ,700.0,,3,3
FR6164,3.0,148.19,NQ-900E9001064A,9X9,SLP,Copper ,120.0,Step Cut,4,4
FR6195,3.0,177.83,TQ-500E5001032K,5X5,SLP,Copper ,440.0,Step Cut,6,5
FRA001,5.0,202.31,NQC400E400A032K,4X4,QFN,Copper ,700.0,,3,3
FRA059,3.0,209.86,NQ-400E4001022K,4X4,SLP,Copper ,700.0,Step Cut,11,11
FRA066,3.0,208.48,NQ-400E5001022C,5X4,SLP,Copper ,550.0,Step Cut,2,2
FRA092,3.0,150.49,NQCA00EA001072U,10X10,SLP,Copper ,120.0,Step Cut,2,2
FRA123,3.0,185.5,TD-300E2001010K,2X3,SLP,Copper ,1710.0,Step Cut,4,3
FRA150,3.0,226.7,MQD350E4501016N,4.5X3.5,SLP,Copper ,660.0,Step Cut,1,1
FRA159,3.0,236.82,NQ-400E3501014N,3.5X4,SLP,Copper ,770.0,Step Cut,2,2
FRA162,3.0,201.45,NQ-200E2001009C,2X2,SLP,Copper ,2470.0,Step Cut,5,4
FRA163,3.0,194.19,NQ-550E5001032N,5X5.5,SLP,Copper ,385.0,Step Cut,1,1
FRA164,3.0,271.53,NQ-300E2001009N,3X2,SLP,Copper ,1690.0,Step Cut,1,1
